2025-06-30 10:44:32 | INFO | VIOLATION_LOGGER_INITIALIZED
2025-06-30 10:44:37 | INFO | SIMULATION_SESSION_START | MODE:SPEED_VIOLATION
2025-06-30 10:44:47 | WARNING | SPEED_VIOLATION | LAT:-37.814669 LON:144.963779 | SPEED:25.1kmh LIMIT:25.0kmh | EXCESS:0.1kmh | SEVERITY:MEDIUM | ZONE:Flinders Street Station
2025-06-30 10:44:58 | WARNING | SPEED_VIOLATION | LAT:-37.815774 LON:144.964506 | SPEED:31.9kmh LIMIT:15.0kmh | EXCESS:16.9kmh | SEVERITY:CRITICAL | ZONE:School Zone - Collins Street
2025-06-30 10:44:59 | WARNING | SPEED_VIOLATION | LAT:-37.815870 LON:144.964574 | SPEED:33.4kmh LIMIT:15.0kmh | EXCESS:18.4kmh | SEVERITY:CRITICAL | ZONE:School Zone - Collins Street
2025-06-30 10:45:00 | WARNING | SPEED_VIOLATION | LAT:-37.815962 LON:144.964648 | SPEED:34.9kmh LIMIT:15.0kmh | EXCESS:19.9kmh | SEVERITY:CRITICAL | ZONE:School Zone - Collins Street
2025-06-30 10:45:01 | WARNING | SPEED_VIOLATION | LAT:-37.816051 LON:144.964720 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:School Zone - Collins Street
2025-06-30 10:45:02 | WARNING | SPEED_VIOLATION | LAT:-37.816151 LON:144.964777 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:School Zone - Collins Street
2025-06-30 10:45:03 | WARNING | SPEED_VIOLATION | LAT:-37.816248 LON:144.964853 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:School Zone - Collins Street
2025-06-30 10:45:04 | WARNING | SPEED_VIOLATION | LAT:-37.816348 LON:144.964907 | SPEED:35.1kmh LIMIT:15.0kmh | EXCESS:20.1kmh | SEVERITY:CRITICAL | ZONE:School Zone - Collins Street
2025-06-30 10:45:05 | WARNING | SPEED_VIOLATION | LAT:-37.816437 LON:144.964981 | SPEED:35.1kmh LIMIT:15.0kmh | EXCESS:20.1kmh | SEVERITY:CRITICAL | ZONE:School Zone - Collins Street
2025-06-30 10:45:06 | WARNING | SPEED_VIOLATION | LAT:-37.816537 LON:144.965046 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:School Zone - Collins Street
2025-06-30 10:45:07 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.816626 LON:144.965106 | SPEED:20.0kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:08 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.816708 LON:144.965180 | SPEED:20.0kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:09 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.816799 LON:144.965254 | SPEED:19.9kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:10 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.816910 LON:144.965307 | SPEED:19.9kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:11 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.816988 LON:144.965380 | SPEED:20.0kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:12 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.817089 LON:144.965457 | SPEED:20.1kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:13 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.817181 LON:144.965523 | SPEED:20.0kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:14 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.817277 LON:144.965576 | SPEED:20.0kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:15 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.817369 LON:144.965657 | SPEED:20.0kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:16 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.817463 LON:144.965713 | SPEED:19.9kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:17 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.817548 LON:144.965783 | SPEED:19.9kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:18 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.817655 LON:144.965848 | SPEED:20.0kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:19 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.817754 LON:144.965924 | SPEED:19.9kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:20 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.817833 LON:144.965983 | SPEED:19.9kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:21 | WARNING | RESTRICTED_ZONE_VIOLATION | LAT:-37.817930 LON:144.966050 | SPEED:20.0kmh | SEVERITY:CRITICAL | ZONE:Pedestrian Mall - Bourke Street | MESSAGE:Entering restricted pedestrian area
2025-06-30 10:45:22 | WARNING | SPEED_VIOLATION | LAT:-37.818034 LON:144.966123 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:23 | WARNING | SPEED_VIOLATION | LAT:-37.818113 LON:144.966190 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:24 | WARNING | SPEED_VIOLATION | LAT:-37.818210 LON:144.966246 | SPEED:34.9kmh LIMIT:15.0kmh | EXCESS:19.9kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:25 | WARNING | SPEED_VIOLATION | LAT:-37.818304 LON:144.966320 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:26 | WARNING | SPEED_VIOLATION | LAT:-37.818410 LON:144.966384 | SPEED:35.1kmh LIMIT:15.0kmh | EXCESS:20.1kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:27 | WARNING | SPEED_VIOLATION | LAT:-37.818493 LON:144.966455 | SPEED:34.9kmh LIMIT:15.0kmh | EXCESS:19.9kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:28 | WARNING | SPEED_VIOLATION | LAT:-37.818581 LON:144.966523 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:29 | WARNING | SPEED_VIOLATION | LAT:-37.818687 LON:144.966588 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:30 | WARNING | SPEED_VIOLATION | LAT:-37.818785 LON:144.966659 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:31 | WARNING | SPEED_VIOLATION | LAT:-37.818875 LON:144.966718 | SPEED:34.9kmh LIMIT:15.0kmh | EXCESS:19.9kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:32 | WARNING | SPEED_VIOLATION | LAT:-37.818969 LON:144.966792 | SPEED:35.1kmh LIMIT:15.0kmh | EXCESS:20.1kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:33 | WARNING | SPEED_VIOLATION | LAT:-37.819057 LON:144.966846 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:34 | WARNING | SPEED_VIOLATION | LAT:-37.819145 LON:144.966914 | SPEED:35.1kmh LIMIT:15.0kmh | EXCESS:20.1kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:35 | WARNING | SPEED_VIOLATION | LAT:-37.819241 LON:144.966993 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:36 | WARNING | SPEED_VIOLATION | LAT:-37.819340 LON:144.967063 | SPEED:35.0kmh LIMIT:15.0kmh | EXCESS:20.0kmh | SEVERITY:CRITICAL | ZONE:Hospital Zone - Melbourne Central
2025-06-30 10:45:37 | INFO | SIMULATION_SESSION_END | DURATION:60.3s
